id	path	concept	dynamic_size	explicit_loops	required_features	status
map-filter-reduce	demos/numeric/map_filter_reduce.mlpl	map-filter-reduce	yes	0	each,compress,reduce	runnable
branching-pipelines	demos/quality/partition_report.mlpl	branch-converge	yes	0	partial,each,compress,result,record	runnable
data-record-pipeline	demos/records/quality_json.mlpl	json-record-pipeline	yes	0	parse-json,record-get,result,try-catch	runnable
composition-comparison	demos/composition/equivalent_styles.mlpl	composition-equivalence	yes	0	atop,over,callable	runnable
binary-metrics	demos/evaluation/binary_metrics.mlpl	classifier-evaluation	yes	0	exp,reduce,record,result	runnable
classifier-evaluation	demos/evaluation/binary_metrics_json.mlpl	json-classifier-evaluation	yes	0	parse-json,record-get,exp,reduce,result	runnable
